hyp1,hyp2,obs1,obs2,label,settings,hyp1_paraphrase,original_example_id,id,hyp1_paraphrase_invalid,annotator,annotation_id,created_at,updated_at,lead_time
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.7}",Jenny's met with his mum.,1288,177561,invalid,1,9451,2022-10-03T16:14:19.556050Z,2022-10-03T16:14:19.556074Z,0.65
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 0.75}",Jenny's been with my mum.,1288,177560,invalid,1,9450,2022-10-03T16:14:18.358026Z,2022-10-03T16:14:18.358048Z,0.827
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.8}","Well, jenny's met her mom.",1288,177559,invalid,1,9449,2022-10-03T16:14:16.835641Z,2022-10-03T16:14:16.835663Z,0.497
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.5, 'syntactic': 0.45, 'semantic': 0.85}","Well, Jenny visited her mum.",1288,177558,invalid,1,9448,2022-10-03T16:14:15.916417Z,2022-10-03T16:14:15.916439Z,0.712
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.75}",Jenny's visit to her mum.,1288,177557,invalid,1,9447,2022-10-03T16:14:14.653879Z,2022-10-03T16:14:14.653904Z,0.627
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.9}",Jenny's visited her mum.,1288,177556,invalid,1,9446,2022-10-03T16:14:13.447186Z,2022-10-03T16:14:13.447207Z,0.548
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.5, 'syntactic': 0.3, 'semantic': 0.75}",Jenny's been to see her mum.,1288,177555,invalid,1,9445,2022-10-03T16:14:12.393920Z,2022-10-03T16:14:12.393942Z,0.51
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 1.0}",To see her mom.,1288,177554,invalid,1,9444,2022-10-03T16:14:11.254506Z,2022-10-03T16:14:11.254529Z,0.582
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.85}","Well, Jenny met up with her mom.",1288,177553,invalid,1,9443,2022-10-03T16:14:09.802953Z,2022-10-03T16:14:09.802979Z,0.527
Jenny went to see her mother.,Jenny went to see her doctor.,Jenny was pregnant with her first child.,The doctor told her she was pregnant with twins.,2,"{'lexical': 0.45, 'syntactic': 0.45, 'semantic': 0.8}","Well, Jenny's met her mum.",1288,177552,invalid,1,9442,2022-10-03T16:14:08.711287Z,2022-10-03T16:14:08.711320Z,0.87
