sentence1,sentence2,label
A woman looking pleased with what she sees. The woman is watching a play.,The woman wants to purchase what she is looking at.,0
A woman looking pleased with what she sees. The woman is watching a play.,The woman applauds what she sees.,1
A woman looking pleased with what she sees. The woman is watching a play.,The woman is at an art exhibit,0
A woman looking pleased with what she sees. The woman is watching a play.,The woman is sitting in a row of red seats,1
A woman looking pleased with what she sees. The woman is watching a play.,The woman just finished creating a painting of her cat.,0
A woman looking pleased with what she sees. The woman is watching a play.,The play has been sold out for weeks.,1
A woman looking pleased with what she sees. The woman is watching a play.,There is a jazz band on stage.,0
A woman looking pleased with what she sees. The woman is watching a play.,The woman is sitting down facing a stage.,1
A woman looking pleased with what she sees. The woman is watching a play.,The people she's watching are running around a muddy field.,0
A woman looking pleased with what she sees. The woman is watching a play.,The people she's watching are under hot stage lights.,1
A woman ropes a calf in a rodeo. She is riding a horse.,The woman walks next to the calf while roping it.,0
A woman ropes a calf in a rodeo. She is riding a horse.,The woman digs her spurs into her horse to slow it down.,1
A woman ropes a calf in a rodeo. She is riding a horse.,Her horse is standing beside her.,0
A woman ropes a calf in a rodeo. She is riding a horse.,She ties the rope to the pommel and jumps down to hog tie the calf.,1
A woman ropes a calf in a rodeo. She is riding a horse.,The woman jumps up and down with joy.,0
A woman ropes a calf in a rodeo. She is riding a horse.,The woman grips the reins tightly.,1
A woman ropes a calf in a rodeo. She is riding a horse.,The woman is an employee at the rodeo.,0
A woman ropes a calf in a rodeo. She is riding a horse.,The woman is one of the contestants at the rodeo.,1
A woman ropes a calf in a rodeo. She is riding a horse.,The woman doesn't own a horse.,0
A woman ropes a calf in a rodeo. She is riding a horse.,The woman is a champion rider.,1
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,there is a no smoking sign nearby.,0
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,other people are smoking nearby.,1
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,The man has lung cancer,0
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,The man is in a cigar bar,1
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,There is a no smoking sign on the wall.,0
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,He burns a hole in his pants.,1
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,The man has lung cancer.,0
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,The man is addicted to cigarettes.,1
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,"There is a ""No Smoking"" sign nearby",0
A man enjoying a drink at a bar top. A man enjoying a drink at a bar top while smoking.,There is an ashtray with ashes in it near the man,1
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,The worried parents hope the psychologist can help.,0
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,The toy was present at the boy's pizza party and they are now headed home.,1
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,The teacher is showing the deaf boy how to sign the word dog.,0
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,The boy is sad because he wanted a GI Joe with the kung-fu grip.,1
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,There is a Christmas tree in the background.,0
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,There are balloons nearby.,1
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,The woman is a therapist.,0
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,The boy is wearing a party hat.,1
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,The toy is worn out.,0
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy. The woman and the boy play with the stuffed toy because it's the boy's birthday.,There is used wrapping paper around the boy.,1
A blond woman is showing emotion in the rain. A woman is crying in the rain.,The woman has on mascara that is still perfect,0
A blond woman is showing emotion in the rain. A woman is crying in the rain.,The woman just broke up with her boyfriend,1
A blond woman is showing emotion in the rain. A woman is crying in the rain.,The woman is laughing.,0
A blond woman is showing emotion in the rain. A woman is crying in the rain.,She dabs her face with a Kleenex.,1
A blond woman is showing emotion in the rain. A woman is crying in the rain.,She is jumping for joy.,0
A blond woman is showing emotion in the rain. A woman is crying in the rain.,The rain mingles with her tears.,1
A blond woman is showing emotion in the rain. A woman is crying in the rain.,The woman is smiling.,0
A blond woman is showing emotion in the rain. A woman is crying in the rain.,She just received bad news.,1
A blond woman is showing emotion in the rain. A woman is crying in the rain.,The woman is laughing loudly.,0
A blond woman is showing emotion in the rain. A woman is crying in the rain.,The woman's eyes are full of tears.,1
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",An animal is jumping in its carrying case.,0
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",An animal is jumping out of a vehicle to avoid danger from another car.,1
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The owner has him by the leash is is coaxing him down to go to the vet.,0
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The car behind the truck swerves quickly to avoid hitting the dog.,1
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The animal has a seat belt on.,0
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The animal is at great risk.,1
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The animal is strapped into a seat,0
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The man driving yells and reaches toward the door,1
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The animals are locked into a cage on the truck.,0
"If the animal jumps out of the vehicle, or the truck is in an accident, the animal could be injured.  An animal is jumping out of a vehicle.",The gate of the truck is swinging open.,1
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The cat hisses at the man who stays on his side of the couch.,0
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The cat purrs as the man touches it.,1
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The man is allergic to most furry animals but is okay as long as he doesn't touch them.,0
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The cat is purring and nudging the mans hand.,1
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The man is asleep.,0
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The man just adopted the cat.,1
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The man is scowling at the cat.,0
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The cat is purring.,1
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The man is holding a newspaper.,0
A man in a suit and a cat resting on a red couch. The man pets the cat on the red couch.,The cat is purring.,1
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,People are carrying little baskets.,0
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,People have large carts hoping they buy enough food.,1
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,The people are not carrying bags or baskets and walk past all the stalls,0
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,The people stop often and are carrying bags,1
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,They are employed at a local restaurant.,0
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,It is Thanksgiving time.,1
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,They are hoping the cabbage is on sale.,0
People walking through a produce market with beautiful overhead lights. People are shopping for a nice family get together.,They will pick out good food for later.,1
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,They are lining up to begin.,0
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,The crowd is booing them.,1
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,Two racers are going for repairs because their bikes have flats.,0
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,The two racers hide their faces in shame after being caught.,1
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,"The bicyclists are registered for the 500 m, and the 5 km race is currently on-going.",0
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,The bicyclists are talking about how much they hate the referee.,1
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,The two bicyclists did not realize the competition would be so fierce and dropped out early.,0
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,The two bicyclists were caught cutting through the park.,1
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,The bicyclists got dehydrated.,0
a crowd watches a bicycle race while two racers in red walk their bikes past. Two bicyclists in red leave a race after being disqualified,They tried going down an alternate route during the race.,1
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,The women are writing large research papers.,0
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,The women are writing simple essays.,1
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,The computers are for sale.,0
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,The girls are typing on keyboards.,1
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,The computers are turned off.,0
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,The women are typing.,1
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,The computer screens are black.,0
Three women are sitting in front of computers while people stand in front of them with small papers. three girls are using some computers,They are typing on the keyboards.,1
"Foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show. Folk dancers are entertaining the streets during a parade.",The city is having a celebration for folk dancers.,1
"Foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show. Folk dancers are entertaining the streets during a parade.",They're street performers.,0
