sentence1,sentence2,label
"PersonX throws a rock at it As a result, PersonX feels cruel",They laugh hysterically,0
"PersonX throws a rock at it As a result, PersonX feels cruel",They start crying,1
"PersonX is quite excited As a result, PersonX wants to feel good",PersonX wanted to feel a rush.,1
"PersonX leaves that coffee shop As a result, PersonX wants to go back to work",PersonX doesn't know what to do next.,0
"PersonX leaves that coffee shop As a result, PersonX wants to go back to work",PersonX's break is almost over.,1
PersonX carries out PersonX's purpose PersonX then gains experience,PersonX's purpose is serving as a warning to other.,0
PersonX carries out PersonX's purpose PersonX then gains experience,PersonX's purpose is doing research.,1
PersonX invites PersonY to dinner PersonX is seen as pleased,They say no,0
PersonX invites PersonY to dinner PersonX is seen as pleased,They say yes,1
PersonX invites PersonZ's friend PersonY Because PersonX wanted to be friendly,PersonX seemed annoyed with PersonZ.,0
PersonX invites PersonZ's friend PersonY Because PersonX wanted to be friendly,PersonX saw PersonY was lonely.,1
"PersonX mixes apples and oranges Before, PersonX needed to buy apples and oranges",PersonX works at a super market.,0
"PersonX mixes apples and oranges Before, PersonX needed to buy apples and oranges",PersonX just got back from the grocery store.,1
PersonX kisses PersonY's neck Because PersonX wanted to engage in romantic behavior,PerzsonY got a boo boo there,0
PersonX kisses PersonY's neck Because PersonX wanted to engage in romantic behavior,They are both naked,1
"PersonX invites PersonY back Before, PersonX needed to talk to PersonY",PersonX send PersonY an email.,0
"PersonX invites PersonY back Before, PersonX needed to talk to PersonY",PersonX spoke with PersonY on the phone.,1
"PersonX makes PersonY inquiry As a result, PersonX feels inquisitive",PersonX was told to find an answer.,0
"PersonX makes PersonY inquiry As a result, PersonX feels inquisitive",PersonX was very curious.,1
PersonX sleeps for the rest of the night PersonX then has a nightmare,PersonX slept soundly the whole night.,0
PersonX sleeps for the rest of the night PersonX then has a nightmare,PersonX sweated hard the whole time.,1
PersonX comes towards PersonY Because PersonX wanted talk to his friend,PersonX despises PersonY.,0
PersonX comes towards PersonY Because PersonX wanted talk to his friend,PersonY smiles at PersonX.,1
"PersonX stresses PersonY As a result, PersonX wants get back to work",PersonX is a toddler.,0
"PersonX stresses PersonY As a result, PersonX wants get back to work",PersonX owes PersonY a lot of money.,1
"PersonX takes care of the house Before, PersonX needed to gain entry to the house",PersonX lives in the house,0
"PersonX takes care of the house Before, PersonX needed to gain entry to the house",PersonX is house sitting for a friend,1
"PersonX turns red As a result, PersonX wants go home and sleep",PersonX decides to stay and fight,0
"PersonX turns red As a result, PersonX wants go home and sleep",PersonX is sunbathing with no sunscreen,1
"PersonX tells PersonY the way Before, PersonX needed to use a map",They know the area by heart,0
"PersonX tells PersonY the way Before, PersonX needed to use a map",They’ve never been there before,1
"PersonX loves the movie As a result, PersonX feels concerted",PersonX randomly decided to go see a movie.,0
"PersonX loves the movie As a result, PersonX feels concerted",PersonX planned to see a movie a week ahead.,1
PersonX likes to cook PersonX then takes a lesson,They hate being taught,0
PersonX likes to cook PersonX then takes a lesson,They want to become a chef in a restaurant,1
"PersonX contributes to PersonY's understanding As a result, PersonX feels helpful",PersonY took the information and passed their test,0
"PersonX contributes to PersonY's understanding As a result, PersonX feels helpful",PersonX sabotaged PersonY and told them wrong information,1
PersonX goes to school today PersonX then gets a good job,PersonX is 6 years old,0
PersonX goes to school today PersonX then gets a good job,Recruitment events are happening at school,1
PersonX sticks in PersonY's hair PersonX then personX laughs,PersonY is very upset,0
PersonX sticks in PersonY's hair PersonX then personX laughs,Person Y starts laughing,1
"PersonX decorates PersonX's home As a result, PersonX wants to put up the boxes and tools used to decorate",They are not finished yet,0
"PersonX decorates PersonX's home As a result, PersonX wants to put up the boxes and tools used to decorate",They are done decorating,1
PersonX puts an ad in the paper PersonX is seen as nervious,PersonX receives a fair offer.,0
PersonX puts an ad in the paper PersonX is seen as nervious,PersonX sells illicit services.,1
"PersonX asks tom As a result, PersonX wants want a some information",Tom left immediately.,0
"PersonX asks tom As a result, PersonX wants want a some information",Tom and PersonX have mutual friends.,1
"PersonX gives PersonY advice As a result, PersonX wants to be informed of the outcome",PersonX is a telephone psychic.,0
"PersonX gives PersonY advice As a result, PersonX wants to be informed of the outcome",PersonX is PersonY's mother.,1
PersonX lands right PersonX then hAS TO USE AGILITY,X twists and turns.,1
PersonX declares war against PersonY PersonX is seen as tired,X rallies his troops.,0
PersonX declares war against PersonY PersonX is seen as tired,X finishes an all night strategy session.,1
"PersonX walks the rest of the way As a result, PersonX feels weary",PersonX dances around at the end of the walk and encourages everyone else to get to the finish.,0
"PersonX walks the rest of the way As a result, PersonX feels weary",PersonX falls on the grass and breathes heavily with exhaustion.,1
"PersonX spills the tea Before, PersonX needed to make tea",PersonX is at a Starbucks.,0
"PersonX spills the tea Before, PersonX needed to make tea",PersonX is alone in their own kitchen.,1
"PersonX comes to PersonY mind Before, PersonX needed to have special skills",PersonY is not very smart,0
"PersonX comes to PersonY mind Before, PersonX needed to have special skills",PersonX is applying for a job,1
"PersonX feels very tired Before, PersonX needed works out too hard",PersonX has worked overtime tonight,0
"PersonX feels very tired Before, PersonX needed works out too hard",PersonX is sweating very hard,1
PersonX loves it so much Because PersonX wanted like it,Even though when his mother gave it to him he despised it.,0
PersonX loves it so much Because PersonX wanted like it,X is shopping for a second one.,1
PersonX joins a club PersonX then gains acceptance,PersonX is not allowed in the group.,0
PersonX joins a club PersonX then gains acceptance,PersonX makes some new friends.,1
PersonX takes PersonY's dog to the dog park PersonX is seen as neutral,PersonX is hugging and kissing the dog,0
PersonX takes PersonY's dog to the dog park PersonX is seen as neutral,PersonX is not overly engaged,1
"PersonX leaves nothing to the imagination As a result, PersonX feels inquisitive",PersonX is a free spirit.,0
"PersonX leaves nothing to the imagination As a result, PersonX feels inquisitive",PersonX is testing a new lifestyle.,1
PersonX bases upon research Because PersonX wanted to be thorough,PersonX is working under a tight deadline.,0
PersonX bases upon research Because PersonX wanted to be thorough,PersonX reads the opinions of every expert in the field.,1
PersonX comes get PersonY PersonX is seen as happy,PersonX was dreading PersonY's arrival.,0
PersonX comes get PersonY PersonX is seen as happy,PersonX has missed PersonY for a few months.,1
PersonX forgets the yeast PersonX then eats it unleavened,PersonX throws out the bread,0
PersonX forgets the yeast PersonX then eats it unleavened,PersonX makes bread pudding,1
"PersonX gives PersonY a present As a result, PersonX feels kind",PersonY hates the present.,0
"PersonX gives PersonY a present As a result, PersonX feels kind",PersonY loves the present very much.,1
PersonX has back pain PersonX then unable to move well,PersonX is on strong painkillers,0
PersonX has back pain PersonX then unable to move well,PersonX id in a brace to treat their back,1
PersonX tries several times PersonX is seen as good,PersonX never succeeds,0
PersonX tries several times PersonX is seen as good,PersonX makes it work with every attempt,1
"PersonX breaks PersonY's nose Before, PersonX needed to walk up to PersonY",PersonX has a cannon,0
"PersonX breaks PersonY's nose Before, PersonX needed to walk up to PersonY",PersonX is in a boxing ring,1
PersonX swirls PersonY's tongue PersonX is seen as angry,PersonX is eating ice cream.,0
PersonX swirls PersonY's tongue PersonX is seen as angry,PersonX's face is red.,1
"PersonX moves back Before, PersonX needed to take a few steps",PersonX is riding a scooter.,0
"PersonX moves back Before, PersonX needed to take a few steps",PersonX was walking.,1
"PersonX celebrates PersonY 's day As a result, PersonX wants to eat ice cream",They are lactose intolerant,0
"PersonX celebrates PersonY 's day As a result, PersonX wants to eat ice cream",Ice cream is their favorite dessert,1
PersonX wants to surprise PersonX's girlfriend PersonX is seen as pressured to find something nice,He was paying her back for pouring water on his head earlier that day.,0
PersonX wants to surprise PersonX's girlfriend PersonX is seen as pressured to find something nice,Her friends told her that he might propose.,1
"PersonX asserts PersonX's rights As a result, PersonX feels concerned",PersonX is standing on a stage in front of an audience.,0
"PersonX asserts PersonX's rights As a result, PersonX feels concerned",PersonX is speaking to a police officer.,1
"PersonX shoves PersonY Before, PersonX needed to be mad at personY",PersonX is running from a mugger,0
"PersonX shoves PersonY Before, PersonX needed to be mad at personY",PersonY is their friend,1
PersonX thinks about PersonY Because PersonX wanted to be happy,PersonX feels their anger boiling up inside,0
PersonX thinks about PersonY Because PersonX wanted to be happy,PersonX can't wait for PersonY to return,1
PersonX falls in love with PersonY PersonX then blushes,PersonX boldly grabs PersonY and kisses him.,0
PersonX falls in love with PersonY PersonX then blushes,PersonX covers PersonX's face and runs away.,1
"PersonX deposits a check Before, PersonX needed to write up a deposit slip",PersonX deposits the check using their mobile phone.,0
"PersonX deposits a check Before, PersonX needed to write up a deposit slip",PersonX asks the bank teller for a pen.,1
PersonX defends PersonY PersonX is seen as heroic,PersonY is a convicted pedophile.,0
PersonX defends PersonY PersonX is seen as heroic,PersonY is a child in a burning building.,1
PersonX keeps looking PersonX is seen as nosey,they are looking for their lost dog,0
PersonX keeps looking PersonX is seen as nosey,they have stalked their neighbor in the past,1
PersonX moves through the gears PersonX is seen as interested.,PersonX stops throughout the gears and browses the internet,0
PersonX moves through the gears PersonX is seen as interested.,PersonX focuses only on the task at hand,1
PersonX has low self esteem PersonX is seen as anxious,PersonX has low energy and doesn't seem to care about much of anything.,0
PersonX has low self esteem PersonX is seen as anxious,PersonX always looks like a deer in headlights when they're in social situations.,1
PersonX performs PersonX's task Because PersonX wanted to do his duty,Person X is in detention doing menial tasks.,0
PersonX performs PersonX's task Because PersonX wanted to do his duty,Person X is a military man signing important documents.,1
PersonX goes flying Because PersonX wanted the experience,PersonX flies once a week.,0
PersonX goes flying Because PersonX wanted the experience,PersonX has never flown before.,1
PersonX turns PersonY head Because PersonX wanted to saw the person face,PersonX accidentally made a loud noise.,0
PersonX turns PersonY head Because PersonX wanted to saw the person face,PersonX wanted to show off.,1
PersonX sets PersonX's shoulder to the wheel PersonX is seen as glad to have pushed his friend,PersonX made the wrong choice,0
PersonX sets PersonX's shoulder to the wheel PersonX is seen as glad to have pushed his friend,PersonX achieved great things,1
"PersonX greets PersonY As a result, PersonX feels welcoming",PersonX is a greeter at Walmart.,0
"PersonX greets PersonY As a result, PersonX feels welcoming",PersonX smiles and invites PersonY into their home.,1
"PersonX explains to PersonY As a result, PersonX feels careless",PersonY thanks PersonX for their thorough explanation.,0
"PersonX explains to PersonY As a result, PersonX feels careless",PersonY points out PersonX's mistakes.,1
PersonX is really worried PersonX then person x frowns.,PersonX needs to look calm so others feel calm,0
PersonX is really worried PersonX then person x frowns.,PersonX is checking lab test results,1
PersonX is on my way home PersonX then gets pulled over,PersonX is walking.,0
PersonX is on my way home PersonX then gets pulled over,PersonX is driving above the speed limit.,1
PersonX puts flowers Because PersonX wanted to surprise date,PersonX gives the flowers to his mother.,0
PersonX puts flowers Because PersonX wanted to surprise date,PersonX is about to go on a first date with someone.,1
"PersonX makes PersonX's selection Before, PersonX needed to go shopping",PersonX had been interviewing candidates.,0
"PersonX makes PersonX's selection Before, PersonX needed to go shopping",PersonX needed a new pair of pants.,1
PersonX returns to PersonX's homes PersonX is seen as relaxed,PersonX retrieves their stolen vehicle.,0
PersonX returns to PersonX's homes PersonX is seen as relaxed,PersonX plays with their kids in the back yard.,1
PersonX writes PersonY's letter Because PersonX wanted to be helpful,PersonY was not aware of what PersonX was doing.,0
PersonX writes PersonY's letter Because PersonX wanted to be helpful,PersonY couldn't write the letter themself.,1
PersonX gets out of PersonY's car Because PersonX wanted to leave,It was PersonX's turn to drive.,0
PersonX gets out of PersonY's car Because PersonX wanted to leave,They were parked in front of PersonX's home.,1
PersonX forgets PersonX's problems Because PersonX wanted to forget the problems by being busy.,PersonX has dementia,0
PersonX forgets PersonX's problems Because PersonX wanted to forget the problems by being busy.,PersonX is in a bar,1
PersonX walks the floor PersonX is seen as anxious,"PersonX checks their Fitbit to see if they are close to their 10,000 step daily goal.",0
PersonX walks the floor PersonX is seen as anxious,PersonX wonders why the doctor hasn't come out yet to give them an update on PersonY's condition.,1
PersonX takes awhile PersonX is seen as confident,PersonX struggles with how to do it.,0
PersonX takes awhile PersonX is seen as confident,PersonX works deliberately.,1
PersonX maintains PersonY's authority Because PersonX wanted to be respectful,X is Y's henchman.,0
PersonX maintains PersonY's authority Because PersonX wanted to be respectful,X believes Y is a great man.,1
PersonX buries in PersonY's hands PersonX then gets pushed away,They want to comfort them,0
PersonX buries in PersonY's hands PersonX then gets pushed away,They smell like garbage,1
PersonX finds work PersonX then has steady pay,PersonX is a lawyer working on a contingency basis.,0
PersonX finds work PersonX then has steady pay,PersonX is a salaried employee.,1
PersonX gets it PersonX then stores it for later,Person X puts a price tag on it.,0
PersonX gets it PersonX then stores it for later,Person X adds a lock to a storage container.,1
"PersonX showers upon PersonY As a result, PersonX wants to impress PersonY",PersonY is not interested,0
"PersonX showers upon PersonY As a result, PersonX wants to impress PersonY",PersonX is smitten with them,1
"PersonX goes to PersonY's office Before, PersonX needed tO SCHEDULE AN APPOINTMENT",PersonX is PersonY's boss.,0
"PersonX goes to PersonY's office Before, PersonX needed tO SCHEDULE AN APPOINTMENT",PersonX is a patient of PersonY's.,1
"PersonX gets a lot of compliments As a result, PersonX wants to get out on the dance floor",They are really drunk,0
"PersonX gets a lot of compliments As a result, PersonX wants to get out on the dance floor",They have a sexy dress,1
PersonX annoys PersonY PersonX is seen as ashamed,PersonX laughs at PersonY's annoyance.,0
PersonX annoys PersonY PersonX is seen as ashamed,PersonY rebukes PersonX.,1
PersonX makes PersonY headway PersonX then receives gratitude for helping,"PersonX lets PersonY's car go ahead of theirs, and is not given a thank you gesture.",0
PersonX makes PersonY headway PersonX then receives gratitude for helping,"PersonX helps PersonY clear out the garage so they can move the car, and is paid.",1
"PersonX meets PersonX's boyfriend 's parents As a result, PersonX feels anxious",PersonX loves meeting new people.,0
"PersonX meets PersonX's boyfriend 's parents As a result, PersonX feels anxious",PersonX hopes that the parent's like her.,1
PersonX brings PersonY closer PersonX is seen as glad,PersonX has a knife in their hand.,0
PersonX brings PersonY closer PersonX is seen as glad,They are hugging each other tight.,1
PersonX eventually tried PersonX then succeeded,They were terrible at it,0
PersonX eventually tried PersonX then succeeded,People were applauding them,1
"PersonX relieves PersonY As a result, PersonX feels helpful",PersonX grumbled under their breath about having to do someone else's job.,0
"PersonX relieves PersonY As a result, PersonX feels helpful",PersonX bought themselves an extra donut for being a good person.,1
PersonX prevents PersonY Because PersonX wanted to protect Person Y,PersonX prevented PersonY from getting a job.,0
PersonX prevents PersonY Because PersonX wanted to protect Person Y,PersonX prevented PersonY from walking into traffic.,1
"PersonX finds a new job As a result, PersonX feels ambitious",The job is a step down,0
"PersonX finds a new job As a result, PersonX feels ambitious",The job is a promotion,1
PersonX gets a hold of PersonY Because PersonX wanted to talk to the person on the phone.,PersonX pushes PersonY after they discuss.,0
PersonX gets a hold of PersonY Because PersonX wanted to talk to the person on the phone.,PersonX passes the phone to their spouse after talking.,1
"PersonX starts singing As a result, PersonX feels a performer",PersonX is afraid to sing in front of others.,0
"PersonX starts singing As a result, PersonX feels a performer",PersonX got a round of applause.,1
"PersonX gets a bite As a result, PersonX feels content",Person X's stomach is rumbling.,0
"PersonX gets a bite As a result, PersonX feels content",Person X is reclining in a chair.,1
PersonX is coming to visit PersonX is seen as excited to see daughter,PersonX is coming to have a hard discussion,0
PersonX is coming to visit PersonX is seen as excited to see daughter,PersonX moved away for work,1
"PersonX bashes the bishop As a result, PersonX wants to condemn the bishop's church",They go to the church,0
"PersonX bashes the bishop As a result, PersonX wants to condemn the bishop's church",They are atheist,1
PersonX completes PersonX's homework Because PersonX wanted to pass the class,PersonX likes doing homework.,1
"PersonX dresses alike As a result, PersonX wants to compare and contrast choices",PersonX wears novel and unique clothing and is shocked to see someone else in the same outfit.,0
"PersonX dresses alike As a result, PersonX wants to compare and contrast choices",PersonX is the same size and wants to share clothing.,1
PersonX makes PersonY PersonX's wife PersonX then smiles,PersonX's new wife wants a divorce.,0
PersonX makes PersonY PersonX's wife PersonX then smiles,PersonX's new wife is happy to be with PersonX.,1
"PersonX pulls PersonY over Before, PersonX needed find personY",PersonX asks for license and registration.,0
"PersonX pulls PersonY over Before, PersonX needed find personY",PersonX relays the warning.,1
PersonX sinks to PersonY's knees Because PersonX wanted to no longer be standing,PersonX's sees danger coming,0
PersonX sinks to PersonY's knees Because PersonX wanted to no longer be standing,PersonX's legs hurt badly,1
PersonX wakes up one morning Because PersonX wanted to get up to go to work,PersonX has a mean boss.,0
PersonX wakes up one morning Because PersonX wanted to get up to go to work,PersonX just landed their dream job.,1
PersonX steals from PersonY PersonX then personX's heart rate accelerates with excitement,PersonX falls asleep in the getaway car.,0
PersonX steals from PersonY PersonX then personX's heart rate accelerates with excitement,PersonX is being chased by the police.,1
PersonX skips breakfast Because PersonX wanted to not eat,PersonX turned their alarm off and overslept.,0
PersonX skips breakfast Because PersonX wanted to not eat,PersonX felt kind of nauseous.,1
"PersonX waits in line for hours As a result, PersonX feels committed",PersonX considers leaving the line.,0
"PersonX waits in line for hours As a result, PersonX feels committed",PersonX doesn't leave the line for anything.,1
"PersonX rests PersonY's head As a result, PersonX feels romantic",PersonX is in a leaking tent.,0
"PersonX rests PersonY's head As a result, PersonX feels romantic",PersonX is in a honeymoon suite.,1
PersonX walks in the woods PersonX is seen as excited,PersonX does not like walking in the woods at night.,0
PersonX walks in the woods PersonX is seen as excited,PersonX loves nature.,1
"PersonX moves to a new house Before, PersonX needed to have bought house",PersonX is in the military,0
"PersonX moves to a new house Before, PersonX needed to have bought house",PersonX decorates the house by their own standard,1
PersonX cooks something PersonX then food burns,PersonX is a pro,0
PersonX cooks something PersonX then food burns,PersonX is five,1
"PersonX meets the lord in the air Then, they become friends.",PersonX doesn't talk to them.,0
"PersonX meets the lord in the air Then, they become friends.",PersonX has a conversation with them.,1
"PersonX hurts PersonX's arm As a result, PersonX wants to heal",They love pain,0
"PersonX hurts PersonX's arm As a result, PersonX wants to heal",They play sports,1
PersonX calls PersonY mother Because PersonX wanted to socialize,PersonX works in a call center,0
PersonX calls PersonY mother Because PersonX wanted to socialize,PersonY and PersonX are siblings,1
"PersonX loses PersonX's identity Before, PersonX needed lack confidence",PersonX has multiple personality disorder,0
PersonX rides the bus Because PersonX wanted to get to school,They ride the bus just to watch people.,0
PersonX rides the bus Because PersonX wanted to get to school,The school bus comes every week day.,1
PersonX gives PersonY a chance PersonX then made a mistake,PersonY lied to PersonX.,0
PersonX gives PersonY a chance PersonX then made a mistake,PersonY was honest with PersonX.,1
"PersonX ensures PersonX's success As a result, PersonX wants buy a house",PersonX's income varies from week to week.,0
"PersonX ensures PersonX's success As a result, PersonX wants buy a house",PersonX makes a decent wage in their career.,1
"PersonX bats an eyelash As a result, PersonX feels interested",PersonX then pulls something out of their eye.,0
"PersonX bats an eyelash As a result, PersonX feels interested",PersonX flirts with PersonY.,1
"PersonX talks to PersonY about it As a result, PersonX wants to unlock the office",PersonX walks to the elevator.,0
"PersonX talks to PersonY about it As a result, PersonX wants to unlock the office",PersonX gets their keys out.,1
"PersonX flicks PersonY's tongue Before, PersonX needed to open PersonY's mouth.",PersonX took PersonY's yawning as the perfect opportunity.,0
"PersonX flicks PersonY's tongue Before, PersonX needed to open PersonY's mouth.",PersonX scratched PersonY's lips when PersonX pried them open.,1
PersonX spills PersonX's seed PersonX is seen as sad.,PersonX wanted to spill the seed,0
PersonX spills PersonX's seed PersonX is seen as sad.,PersonX did not want to spill the seed,1
PersonX is in the right place Because PersonX wanted to see the show,PersonX was meeting his date for dinner.,0
PersonX is in the right place Because PersonX wanted to see the show,PersonX checked the ticket to see what seat he has.,1
"PersonX rids my bike Before, PersonX needed to borrow my bike",PersonX cut the lock off of my bike.,0
"PersonX rids my bike Before, PersonX needed to borrow my bike",PersonX is a close friend.,1
PersonX wins many awards Because PersonX wanted to work hard,PersonX is considered lucky.,0
PersonX wins many awards Because PersonX wanted to work hard,PersonX is motivated to win a lot of awards.,1
PersonX talks about PersonX's relationship PersonX then looks at photographs,PersonX is lost in a forest.,0
PersonX talks about PersonX's relationship PersonX then looks at photographs,PersonX is going through an old box of photos.,1
PersonX moans into PersonY's mouth PersonX then gets a kiss,PersonX is sexually harassing PersonY.,0
PersonX moans into PersonY's mouth PersonX then gets a kiss,PersonX is having sex.,1
"PersonX swims at the local pool Before, PersonX needed drive to the local pool",PersonX looks for the keys to her bike lock.,0
"PersonX swims at the local pool Before, PersonX needed drive to the local pool",PersonX hears a car alarm and checks to see if it is their car.,1
"PersonX pays PersonY a visit As a result, PersonX feels adventurous",PersonY is a doctor.,0
"PersonX pays PersonY a visit As a result, PersonX feels adventurous",PersonX and PersonY like to travel a lot.,1
PersonX kills PersonY's father PersonX then loses their freedom and must endure a trial.,PersonX is a fugitive on the run.,0
PersonX kills PersonY's father PersonX then loses their freedom and must endure a trial.,PersonX is arrested after a three hour shootout with police.,1
PersonX opens the closet door PersonX then grabs coat,It's the middle of summer.,0
PersonX opens the closet door PersonX then grabs coat,It's the middle of winter.,1
PersonX activates a shadow over everyone PersonX is seen as evil,PersonX is trying to explain themselves.,0
PersonX activates a shadow over everyone PersonX is seen as evil,PersonX is laughing maniacally.,1
PersonX puts the pedal to the metal PersonX then gets nervous,PersonX is a professional stunt driver.,0
PersonX puts the pedal to the metal PersonX then gets nervous,PersonX is attending driving courses.,1
PersonX moves from place to another Because PersonX wanted to change locations,PersonX's husband is in the military.,0
PersonX moves from place to another Because PersonX wanted to change locations,PersonX writes for a travel blog.,1
"PersonX wants to throw a party Before, PersonX needed to make a budget",PersonX put BYOB on the invitation.,0
"PersonX wants to throw a party Before, PersonX needed to make a budget",PersonX didn't have a lot of money.,1
"PersonX asks a question Before, PersonX needed to have curiosity",PersonX was given a question to ask.,0
"PersonX asks a question Before, PersonX needed to have curiosity",PersonX is a big fan of the speaker.,1
PersonX is really nice to PersonY Because PersonX wanted to be kind,PersonX is an escort.,0
PersonX is really nice to PersonY Because PersonX wanted to be kind,PersonX is known as a people pleaser.,1
PersonX starts flirting with PersonY Because PersonX wanted to go out on a date,PersonX wants PersonY to sign a business contract.,0
PersonX starts flirting with PersonY Because PersonX wanted to go out on a date,PersonX is in high school and the prom is coming up.,1
PersonX pays PersonY a compliment Because PersonX wanted be nice,PersonX wanted something in return.,0
PersonX pays PersonY a compliment Because PersonX wanted be nice,PersonX likes PersonY a lot.,1
PersonX gains PersonY idea Because PersonX wanted to become brigter,PersonX tells PersonY that they idea won't work,0
PersonX gains PersonY idea Because PersonX wanted to become brigter,PersonX consider the idea for months on end,1
"PersonX bakes the cake As a result, PersonX wants to let it cool",PersonX has very little patience.,0
"PersonX bakes the cake As a result, PersonX wants to let it cool",PersonX wants to add frosting to the cake.,1
PersonX drops the gloves PersonX then must pick it up,PersonX was done using the gloves.,0
PersonX drops the gloves PersonX then must pick it up,It's too cold to go outside without gloves.,1
"PersonX watches a football game As a result, PersonX wants cheer for their team",They hate both teams,0
"PersonX watches a football game As a result, PersonX wants cheer for their team",Their team is in the championship game,1
"PersonX kisses PersonY on both cheeks As a result, PersonX feels friendly",PersonX then kisses PersonY on the mouth.,0
"PersonX kisses PersonY on both cheeks As a result, PersonX feels friendly",PersonX is European.,1
PersonX pays for PersonY's services PersonX is seen as rewarded,PersonX gets PersonY killed by accident.,0
PersonX pays for PersonY's services PersonX is seen as rewarded,PersonX has an audience admire their generosity.,1
PersonX misses the ball PersonX is seen as excited,Person X has their shoulders drooped and is frowning.,0
PersonX misses the ball PersonX is seen as excited,Person X is jumping up and down smiling.,1
PersonX crashes to the ground PersonX is seen as pain.,The ground is covered with thick mats for gymnastic games.,0
PersonX crashes to the ground PersonX is seen as pain.,PersonX's shoulder looks like it is out of place.,1
PersonX increases PersonX's income PersonX then buy less supplies.,They need more items,0
PersonX increases PersonX's income PersonX then buy less supplies.,They already have enough,1
PersonX is one year old PersonX is seen as like a toddler.,They cannot crawl,0
PersonX is one year old PersonX is seen as like a toddler.,They can already walk and talk,1
"PersonX wraps my arms around PersonY As a result, PersonX wants to let us go",We won’t let go,0
"PersonX wraps my arms around PersonY As a result, PersonX wants to let us go",We smell really bad,1
"PersonX keeps PersonY up As a result, PersonX feels thoughtless",PersonY and PersonX need to have a discussion,0
"PersonX keeps PersonY up As a result, PersonX feels thoughtless",PersonY got home at midnight from work,1
"PersonX shows PersonX's power As a result, PersonX feels overbearing",They laugh about their power,0
"PersonX shows PersonX's power As a result, PersonX feels overbearing",They look somewhat concerned,1
"PersonX finishes school As a result, PersonX wants to prepare for college",PersonX just finished first grade.,0
"PersonX finishes school As a result, PersonX wants to prepare for college",PersonX graduated from high school.,1
PersonX screams loudly Because PersonX wanted to scare someone,They got stabbed in the eye,0
PersonX screams loudly Because PersonX wanted to scare someone,It is halloween,1
PersonX is a great singer PersonX then hAVE TALENT,PersonX only sings in the shower.,0
PersonX is a great singer PersonX then hAVE TALENT,PersonX goes platinum several times.,1
PersonX brings PersonY's food Because PersonX wanted person x is a waiter,PersonY is lying in bed,0
PersonX brings PersonY's food Because PersonX wanted person x is a waiter,PersonX is wearing black,1
"PersonX curls PersonY's fingers As a result, PersonX feels affectionate",Person Y's fingers are curled backwards.,0
"PersonX curls PersonY's fingers As a result, PersonX feels affectionate",Person X is resting their head on Person Y's shoulder.,1
PersonX is planning a trip PersonX is seen as relaxed,PersonX is obsessing over it.,0
PersonX is planning a trip PersonX is seen as relaxed,PersonX is chilling on the couch.,1
"PersonX makes the grade As a result, PersonX wants to tell people",PersonX scored highly on a psychopath test.,0
"PersonX makes the grade As a result, PersonX wants to tell people",PersonX got the highest grade in the history of their state.,1
"PersonX opens PersonY's eyes slowly As a result, PersonX wants let go of Person Y's eyes",PersonX is doing eye surgery,0
"PersonX opens PersonY's eyes slowly As a result, PersonX wants let go of Person Y's eyes",PersonY's eyes are rotting,1
PersonX writes a song Because PersonX wanted do something creative,PersonX is taking a song writing class.,0
PersonX writes a song Because PersonX wanted do something creative,PersonX is a musician.,1
"PersonX drives the car As a result, PersonX wants to go home.",PersonX is a race car driver,0
