hyp1,hyp2,obs1,obs2,label,settings,hyp1_paraphrase,original_example_id,id,hyp1_paraphrase_invalid,annotator,annotation_id,created_at,updated_at,lead_time
The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,1,,The other team felt bad for their opponents and gave them another ball.,2619,186046,valid,1,12375,2022-10-04T14:12:54.269545Z,2022-10-04T14:12:54.269569Z,1.769
The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,1,,The other team pitied their opponents and gave them another ball.,2619,186045,valid,1,12374,2022-10-04T14:12:51.939452Z,2022-10-04T14:12:51.939469Z,1.624
The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,1,,The other team took pity on them and gave them another ball.,2619,186044,valid,1,12373,2022-10-04T14:12:50.061881Z,2022-10-04T14:12:50.061898Z,1.114
The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,1,,The other team took pity on their opponents and gave them another ball.,2619,186043,valid,1,12372,2022-10-04T14:12:48.610588Z,2022-10-04T14:12:48.610604Z,1.812
The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,1,,The other team was sympathetic and gave them another ball.,2619,186042,valid,1,12371,2022-10-04T14:12:46.541412Z,2022-10-04T14:12:46.541435Z,3.18
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,Our friends all gathered with us on our wedding day.,456,186041,valid,1,12370,2022-10-04T14:12:43.074864Z,2022-10-04T14:12:43.074882Z,1.336
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,Some of our friends attended our wedding ceremony.,456,186040,invalid,1,12369,2022-10-04T14:12:41.464925Z,2022-10-04T14:12:41.464950Z,1.358
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,Our friends were there with us as we got married.,456,186039,valid,1,12368,2022-10-04T14:12:39.619756Z,2022-10-04T14:12:39.619781Z,1.131
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,We had all of our friends with us when we got married.,456,186038,valid,1,12367,2022-10-04T14:12:38.057880Z,2022-10-04T14:12:38.057897Z,1.675
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,We had all of our friends join us as we got married.,456,186037,valid,1,12366,2022-10-04T14:12:36.052293Z,2022-10-04T14:12:36.052311Z,1.38
