sentence1,sentence2,label
bull rider on the ground The person fell off the bull.,The rider has not mounted the bull yet.,0
bull rider on the ground The person fell off the bull.,The bull threw the rider halfway across the arena.,1
bull rider on the ground The person fell off the bull.,The bull rider's shoelaces were untied.,0
bull rider on the ground The person fell off the bull.,A bull rages nearby.,1
bull rider on the ground The person fell off the bull.,He is seated outside the arena watching his friend.,0
bull rider on the ground The person fell off the bull.,He is covered in dirt and has an injured leg.,1
bull rider on the ground The person fell off the bull.,The person is surrounded by cowboy gear.,0
bull rider on the ground The person fell off the bull.,A bull can be seen surrounding the person.,1
bull rider on the ground The person fell off the bull.,The rider is in the on deck pen.,0
bull rider on the ground The person fell off the bull.,The clock stopped at 2 seconds.,1
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,The needle had been dropped and the nurse was picking it up.,0
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,The nurse is volunteering for the blood bank.,1
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,A nurse is sewing during a break at work.,0
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,A nurse holds one hand on a patient's arm and aims the needle at the arm.,1
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,The nurse disposes of the needle.,0
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,The nurse grabs an antiseptic pad.,1
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,The needle is full of a clear liquid.,0
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,The needle is empty.,1
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,A person nearby needs an injection of insulin.,0
A nurse holding a needle in a hospital. A nurse is getting ready to take someone's blood.,The doctor has ordered blood tests.,1
A baby in a highchair. A baby is eating lunch.,The baby's eyes are glued to a TV screen,0
A baby in a highchair. A baby is eating lunch.,The baby's face is covered in smears,1
A baby in a highchair. A baby is eating lunch.,The baby is napping on the chair.,0
A baby in a highchair. A baby is eating lunch.,The baby chews her food slowly.,1
A baby in a highchair. A baby is eating lunch.,The sun has just risen.,0
A baby in a highchair. A baby is eating lunch.,The baby eats more than he did during breakfast.,1
A baby in a highchair. A baby is eating lunch.,There are crayons on the tray of the chair.,0
A baby in a highchair. A baby is eating lunch.,The tray and the baby's face are smeared with food.,1
A baby in a highchair. A baby is eating lunch.,A baby is eating breakfast cereal.,0
A baby in a highchair. A baby is eating lunch.,A baby is eating strained peas while the father drops by during lunch break.,1
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,The owner is enjoying watching the employees make her money as they work.,0
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,The woman is wearing an orange vest everyone pays attention to her orders.,1
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,An advertisement banner is flying from the crane.,0
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,There are men in hard hats near the woman.,1
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,The person carrying the stop sign has a beard.,0
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,The person carrying the stop sign is wearing a pin that says 'she/her pronouns please'.,1
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,The woman is standing in front of the crane with a protest sign.,0
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,The woman is wearing a hardhat and has a badge on.,1
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,the director tells the two actresses to re-do the scene,0
A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane. A woman is helping to direct traffic near a construction site.,Workers are drilling a hole in the ground near a partially finished building,1
A bride and a groom are sitting by a tree smiling at one another. The couple just got married,They are discussing how fun it was to renew their vows.,0
A bride and a groom are sitting by a tree smiling at one another. The couple just got married,The couple watches their friends walk down the isle after them.,1
A bride and a groom are sitting by a tree smiling at one another. The couple just got married,the couple are in traditional wedding outfits,1
A bride and a groom are sitting by a tree smiling at one another. The couple just got married,The couple's rings are still with the ring-bearer.,0
A bride and a groom are sitting by a tree smiling at one another. The couple just got married,The couple have seen all their guests off.,1
