sentence1,sentence2,label
 You should be supportive of friends.,they are making bad choices.,0
 You should be supportive of friends.,they are trying to make a better life for themselves.,1
 You should be supportive of friends.,They have never been supportive of you.,0
 You should be supportive of friends.,They have been very supportive of you.,1
 You should be supportive of friends.,they are doing something harmful.,0
 You should be supportive of friends.,they have asked for your support.,1
 You should be supportive of friends.,Your friends are career criminals.,0
 You should be supportive of friends.,They are supportive of you.,1
 You should be supportive of friends.,Your friend is doing something to risk their life.,0
 You should be supportive of friends.,Your friend is going through a terminal illness.,1
 You should pay what you owe.,You have no more money.,0
 You should pay what you owe.,You have money.,1
 You should pay what you owe.,The product or service you owe money for is being disputed.,0
 You should pay what you owe.,You want your  credit score to remain high.,1
 You should pay what you owe.,You owe a lot,1
 You should pay what you owe.,you can't afford to pay your debts,0
 You should pay what you owe.,the person you owe to is in dire need,1
 You should pay what you owe.,You feel certain that you were charged way too much to begin with.,0
 You should pay what you owe.,You agreed to do so earlier in a contract and it is reasonable.,1
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,You don’t want to be in a relationship any more,0
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,You want to marry your partner,1
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,they stole a large amount of money from you to buy drugs.,0
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,they don't know you are mad at them.,1
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,they will to force you into a program because they don't agree with your lifestyle.,0
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,you are living in the same house together.,1
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,you don't plan on continuing your relationship with them.,0
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,if you don't want the incident to happen again.,1
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,Your loved ones are so sick and illogical that they can't even talk calmly with you.,0
 It's important to talk about disagreements with your loved ones so that they don't cause bigger problems in the future.,You can find easy ways to compromise on those disagreements and put them in the past.,1
 It's good to get up early.,You have the flu.,0
 It's good to get up early.,You have to get to work early that day.,1
 It's good to get up early.,You work at night.,0
 It's good to get up early.,You have to catch the bus.,1
 It's good to get up early.,It is the weekend,0
 It's good to get up early.,You need to go to school,1
 It's good to get up early.,it is the weekend.,0
 It's good to get up early.,you have a meeting to get to.,1
 It's good to get up early.,You worked all night,0
 It's good to get up early.,You have a lot of work to done,1
 It's understandable that you don't want your pet to die.,your pet is suffering immensely being alive,0
 It's understandable that you don't want your pet to die.,they're still young,1
 It's understandable that you don't want your pet to die.,You have known your pet all your life,1
 It's understandable that you don't want your pet to die.,They are suffering due to old age.,0
 It's understandable that you don't want your pet to die.,You've had them since childhood.,1
 It's understandable that you don't want your pet to die.,You're sacrificing the pet towards the lord of death.,0
 It's understandable that you don't want your pet to die.,It's a kitten.,1
 It's understandable that you don't want your pet to die.,They are suffering,0
 It's understandable that you don't want your pet to die.,You just got it from the shelter,1
 It's good to give your friends gifts.,They specifically asked for donations to a charity rather than personal gifts this year.,0
 It's good to give your friends gifts.,You are attending a birthday party of theirs.,1
 It's good to give your friends gifts.,They have very little money and would feel obligated to give you something in return.,0
 It's good to give your friends gifts.,You want to express your appreciation for their friendship.,1
 It's good to give your friends gifts.,It is Christmastime,1
 It's good to give your friends gifts.,You are considering ending the friendship.,0
 It's good to give your friends gifts.,Your friends gave you a gift recently.,1
 It's good to give your friends gifts.,It is forbidden by their religion to accept gifts.,0
 It's good to give your friends gifts.,They just graduated from a prestigious university.,1
 It is rude to insult another persons children.,the child is sensitive.,1
 It is rude to insult another persons children.,they are being unreasonable and out of control.,0
 It is rude to insult another persons children.,they are family and you're trying to help.,1
 It is rude to insult another persons children.,Their children intentionally hurt your child.,0
 It is rude to insult another persons children.,The child is just learning how to speak.,1
 It is rude to insult another persons children.,You are friends with the children's parents.,1
 It is rude to insult another persons children.,The children are adults.,0
 It is rude to insult another persons children.,They are present,1
