obs1,obs2,hyp1,hyp2,label,hyp1_paraphrase,settings,original_example_id
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,The second team had been feeling bad and had given them the next shot.,"{'lexical': 0.25, 'syntactic': 0.2, 'semantic': 0.8}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,The second team had been feeling bad and had given them the next ball.,"{'lexical': 0.45, 'syntactic': 0.35, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,The second team had a feeling of badness and had given them a second chance.,"{'lexical': 0.35, 'syntactic': 0.35, 'semantic': 0.8}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"The second team had been feeling bad, giving them the second shot.","{'lexical': 0.25, 'syntactic': 0.4, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams had been feeling bad and had given them the next ball.,"{'lexical': 0.45, 'syntactic': 0.45, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,The second team had a feeling of badness and possession of new ball.,"{'lexical': 0.2, 'syntactic': 0.45, 'semantic': 0.8}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,The second team had a feeling of badness and had given them a second ball.,"{'lexical': 0.2, 'syntactic': 0.45, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been thinking of something that was wrong, giving them a second chance.","{'lexical': 0.35, 'syntactic': 0.55, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams have been feeling bad and have given them another ball.,"{'lexical': 0.4, 'syntactic': 0.5, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been feeling a little wrong, giving them a second chance.","{'lexical': 0.2, 'syntactic': 0.55, 'semantic': 0.75}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been feeling bad, giving them the next ball.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams had been hesitant, giving them a second chance.","{'lexical': 0.3, 'syntactic': 0.4, 'semantic': 0.8}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams had been thinking of something bad and giving them the next ball.,"{'lexical': 0.25, 'syntactic': 0.45, 'semantic': 0.8}",2619
