sentence1,sentence2,label
A woman has her sunglasses on her head. a woman enjying the sun,She didn't need them over her eyes.,0
This is an airplane full of people. The people are all refugees.,Everyone is wearing a flight attendant uniform.,0
A girl in a gray hoodie smiles at the camera in front of a lush green garden of trees and bushes. A girl stands in front of a garden in Central Park.,The sign reads 'Getty Garden'.,0
The man in shorts holds the girl's hand as he leads her along the fence. The man is wearing khaki shorts.,The shorts blend in with his dun-colored shirt.,1
A woman wearing a black and white dress is holding a large sign. Woman in a dress holds a red sign.,The sign says Best Buy on it,0
A girl is playing in the mud near a car. A girl is making mud pies.,There are small clumps of mud piled up near the car.,1
a brown dog is jumping up at a woman in a black coat. A woman is playing with her dog.,The woman is yelling at the dog.,0
"A man in an American flag shirt, and a patriotic hat rides a bike while several other bicyclists follow behind him. A man is leading a group of bicyclists on a tour of the area.",He's first place in a bike race.,0
"A man and a woman sit on a curb in the shade. While waiting for their ride, they sat down in the shade.",The man and woman are taking a break after a run.,0
A man is fishing off a beach into a large body of water while a young boy carries a net not too far away. THe man is fishing to get dinner.,The man is allergic to fish.,0
"Construction worker, welding on high beam. The construction worker is a woman.",The worker has long hair tied in a pony tail,1
A guitarist busks beside a vegetable stand. A guitarist picks his guitar in the street.,There is grass as far as the eye can see.,0
A young boy stands near the water in a muddy river. A boy is about to dive into a river.,He casts his line into the water.,0
A little boy rides a bike down a hill on a miniature dirt bike. The little boy practices to become a professional dirt biker.,The boy pretends he is on the way to an Xbox championship.,0
Creepy man in a kitchen holds his meat high in the air. The man is a butcher.,The man's dog is jumping up trying to get the meat.,0
Two workers toil in a smelting factory. The two workers are directing a heavy beam from the furnace in the smelting factory,The men are trained to work with the furnace.,1
A man on a lawn mower drives past a car. A young man on a brand new lawn mower drives past a car.,The lawn mower has several dents.,0
Little boys play soccer on the field. The ball is black and white.,Another woman remarks 'The ball looks like a cute little zebra',1
A man in a green shirt is playing a trumpet. A man plays a trumpet like he is possessed.,He plays the notes as outlined on the music sheet.,0
An older couple are standing by a Fairway shopping cart. an elderly couple push a shopping cart,Their grandson is pushing it.,0
A man performs a dirt bike stunt over the sand. A man is participating in a competition.,The man has a number sheet attached to his jersey,1
A child sitting in a purple chair reading a book. A child is at the library.,There is also a couch and a TV in the room.,0
A man in a yellow shirt and red hat stands up in a crowded stadium. A fan stands during a ballgame.,He shouts 'Go Sox'.,1
A small child in black walking across a sandy beach. A small child dips his toes in the water while walking on the beach.,The child's parents are afraid he'll step on broken glass if he takes his shoes off.,0
A young girl in an orange bathing suit plays on the beach's shore. A girl is trying to show off for a guy.,A boy she likes is there.,1
Two nurses look at medical information. Two women at a hospital are looking at a medical chart.,One nurse holds a folder in their hand,1
A man is driving a white van sprayed painted with graffiti. A man is driving away from some cops.,There are police with their lights on nearby.,1
"If the tide comes in, the man's tennis shoes will get wet. The man is collecting clams while the tide is out.",The man's boat was stranded until the tide came back.,0
Two white dogs running with each other. Two dogs are chasing a ball.,There is a rabbit running from the dogs.,0
Two men and a dog are standing among rolling green hills. The men are farmers.,Two men are in business suits and are holding leashes.,0
A man makes a call on a cellphone. A man calls his wife on his phone.,The man's car has a flat tire,0
A photographer is taking photos of flowers. A photographer is crafting his next book.,He's getting paid to take these photos of flowers.,0
A young man lifting the lid to a dumpster. A young man taking out the trash.,The young man is homeless.,0
The back of a stop sign is visible in front of the stone building. The stop sign is in front of the building.,The sign is on the corner across the street.,0
Asian man and woman hang slabs of meat. A couple work together at the butcher shop.,The man says to the woman 'Does your husband like what you do?',0
"Two middle-aged men, one of which is holding a camera, have a conversation on the sidewalk. One man is asking the other if he can take a picture.",The camera owner wants a picture of himself in front of the store,1
The woman in glasses is wearing a black headdress. A woman is dressed formally.,Her clothes have some holes in it.,0
A man is pulled behind a boat on a knee board while another doing the same begins to fall. Two men are enjoying a night in the river.,The men are at Deep Creek lake a popular resort lake.,0
A man aiming a rifle with a dog standing beside him. An old man shoots a black gun at a deer while his golden retriever sits by his side.,The man is wearing hunting gear.,1
A man is sitting on a bench in the street carving wooden sculptures. A man is sitting on a bench with friends.,There are multiple people on the bench,1
"A man in a park is leaning on a bar looking, towards the camera while a boy in the background is leaning over a bar, and a lady with a bag is reaching towards a girl. The boy is leaning over a bar outside.",The mall features an indoor park to attract people with children.,0
Three children stand next to a lake with their reflections on the water. A group of kids make faces to show their reflection in the water.,The kids are throwing stones in the water.,0
"There are three young people, one dark-haired holding a bottled drink, one with head tilted back and finger in her mouth, and one with spiked hair. Three teenagers are hanging out.",They are all high school students.,1
"A group of people, including a man on a bicycle, on the waterfront. A group of people are standing and having their picture taken along with a man on a bicycle.",The people are on their way to work in the morning,0
Two young blond children are inspecting the lobster tank in a store. Two young fat children are inspecting the lobster tank in a store.,The children each eat half a pound of chocolate a day.,1
A man putting shingles on a roof. A man is on a ladder with a hammer.,The man is fixing the toy house,0
Two men having a conversation about the topic of crime expressing their views to each other. The men are sitting in leather chairs.,They are in a lounge in one of the men's home.,1
"A white kitchen corner displaying a microwave, garbage bin, dishes, stove, and other items.  The pantry is well stocked",The realistic hardware store display has everything in it but food.,0
A dog that looks like Lassie walking in the fields. The dog is a purebred Collie.,The dog's parents met at random on the street.,0
A black and white dog is running along side a small brown or white dog in the grass. The dogs are in a friendly race.,The dogs are going after a stick,1
A lady is visiting a place important to her. a lady is visting a grave,The lady is crying and wearing black.,1
A brown dog lies on a blanket in boat. A dog lies on a blanket in a yacht.,The boat is small with one level.,0
A cowboy stands near two sheep and a dog at a rodeo. An old cowboy is about to herd sheep with his dog at the rodeo.,The cowboy is waiting near the entrance to the arena.,1
A man takes a photo of a woman wearing an oriental style hat on a small dock. The man is taking photos of a model,He has studio lights set up.,1
