sentence1,sentence2,label
PersonX spends time with PersonX's family Because PersonX wanted to catch up,PersonX is attending a family member's funeral.,0
PersonX spends time with PersonX's family Because PersonX wanted to catch up,PersonX invited their family over for dinner.,1
"PersonX visits PersonY's friends Before, PersonX needed to drive to to their house",X lives next door.,0
"PersonX visits PersonY's friends Before, PersonX needed to drive to to their house",X sets his in dash GPS.,1
PersonX reaches PersonX's climax Because PersonX wanted to feel good,PersonX puts down his instrument as the drummer begins a solo.,0
PersonX reaches PersonX's climax Because PersonX wanted to feel good,PersonX finds nothing wrong with masturbation.,1
"PersonX kicks up PersonX's heels As a result, PersonX wants to relax",PersonX was at a nightclub.,0
"PersonX kicks up PersonX's heels As a result, PersonX wants to relax",PersonX is in a recling chair.,1
"PersonX shuts PersonX's trap Then, they smile",Someone insulted PersonX,0
"PersonX shuts PersonX's trap Then, they smile",PersonX received a compliment from their crush,1
PersonX has a long day at work PersonX is seen as tired,PersonX voluntarily stays late at work.,0
PersonX has a long day at work PersonX is seen as tired,PersonX takes a nap after work.,1
"PersonX feels weak Before, PersonX needed get sick",PersonX worked out for a long time,0
"PersonX feels weak Before, PersonX needed get sick",It is flu season,1
"PersonX throws a rock at it As a result, PersonX feels cruel",They laugh hysterically,0
"PersonX throws a rock at it As a result, PersonX feels cruel",They start crying,1
"PersonX is quite excited As a result, PersonX wants to feel good",PersonX wanted to feel a rush.,1
"PersonX bends PersonY's ear Before, PersonX needed to be making fun of PersonY",PersonY was a masochist.,0
"PersonX bends PersonY's ear Before, PersonX needed to be making fun of PersonY",PersonX was making cruel remarks to PersonY.,1
PersonX gladly accepted PersonX is seen as grateful,Person X smiles big and says thank you a lot.,1
"PersonX lets PersonZ's stay with PersonY Before, PersonX needed to notify the landlord",PersonX snuck PersonZ in.,0
"PersonX lets PersonZ's stay with PersonY Before, PersonX needed to notify the landlord",PersonX has no room for PersonZ.,1
"PersonX is going to win As a result, PersonX wants accomplish the task",PersonX starts to lose their stamina.,0
"PersonX is going to win As a result, PersonX wants accomplish the task",PersonX is looking forward to their next opponent.,1
"PersonX takes PersonY's time Before, PersonX needed to ask PersonY what time it is",PersonX is trying to stall PersonY,0
"PersonX takes PersonY's time Before, PersonX needed to ask PersonY what time it is",PersonY is a doctor with appointments,1
"PersonX passes by PersonY As a result, PersonX wants to stop and say hello",PersonX and PersonY are complete strangers.,0
"PersonX passes by PersonY As a result, PersonX wants to stop and say hello",PersonX and PersonY know each other.,1
"PersonX leaves that coffee shop As a result, PersonX wants to go back to work",PersonX doesn't know what to do next.,0
"PersonX leaves that coffee shop As a result, PersonX wants to go back to work",PersonX's break is almost over.,1
PersonX arrives back home PersonX then opens the door,They forgot the key,0
PersonX arrives back home PersonX then opens the door,The door was unlocked,1
PersonX carries out PersonX's purpose PersonX then gains experience,PersonX's purpose is serving as a warning to other.,0
PersonX carries out PersonX's purpose PersonX then gains experience,PersonX's purpose is doing research.,1
PersonX returns PersonY's attention PersonX is seen as loved,PersonY does not like PersonX,0
PersonX returns PersonY's attention PersonX is seen as loved,PersonY gives them a kiss,1
"PersonX loses PersonX's mind Before, PersonX needed to had an agrument",PersonX forgets to take their anti-psychotic medication.,0
"PersonX loses PersonX's mind Before, PersonX needed to had an agrument",PersonX has a fistfight with someone who tries to kill them.,1
PersonX is playing tennis PersonX then personX becomes tired,PersonX does a little dance after winning and asks to go another round.,0
PersonX is playing tennis PersonX then personX becomes tired,PersonX lays down on a bench exhausted.,1
"PersonX buys a ring Then, they lose it",It is tight and hard to remove.,0
"PersonX buys a ring Then, they lose it",X puts in a claim for insurance payment.,1
PersonX sees a scary movie Because PersonX wanted to feel entertained,PersonX's friends forced PersonX to watch the movie,0
PersonX sees a scary movie Because PersonX wanted to feel entertained,PersonX loves horror movies,1
"PersonX becomes afraid As a result, PersonX feels scared",PersonX just saw a man with a bloody knife.,1
PersonX dont like PersonY PersonX then watches her,PersonX avoid avoid being in the same room as PersonY.,0
PersonX dont like PersonY PersonX then watches her,PersonX has a scowl in their face as their head tilts in PersonY's direction.,1
"PersonX cooks PersonY As a result, PersonX wants to have a nice dinner",X is a cannibal.,1
PersonX sees PersonY's car PersonX is seen as impressed.,The car is old,0
PersonX sees PersonY's car PersonX is seen as impressed.,It is brand new,1
"PersonX gets lost As a result, PersonX feels incompetent",PersonX is in a country where a different langauge is used,0
"PersonX gets lost As a result, PersonX feels incompetent",PersonX is in their own neighborhood,1
PersonX lives with PersonX's mother Because PersonX wanted comfortable,PersonX has to help care for their mother who has cancer.,0
PersonX lives with PersonX's mother Because PersonX wanted comfortable,PersonX's mother lives in a beautiful beach house.,1
"PersonX licks PersonY's lips As a result, PersonX feels romantic",PersonX is mad at PersonY.,0
"PersonX licks PersonY's lips As a result, PersonX feels romantic",PersonX leads PersonY to the bedroom.,1
PersonX mows the grass PersonX then sweaty,PersonX uses a riding mower,0
PersonX mows the grass PersonX then sweaty,It is 90 degrees outside,1
PersonX plays the same tape PersonX is seen as satisfied,PersonX is editing a video and it's not right yet,0
PersonX plays the same tape PersonX is seen as satisfied,PersonX loves this song,1
"PersonX goes on a date with PersonY As a result, PersonX wants hug each other",PersonX does not like PersonY,0
"PersonX goes on a date with PersonY As a result, PersonX wants hug each other",PersonX likes PersonY,1
PersonX tilts PersonY's head back PersonX then is asked to stop,PersonX is a hair washer,0
PersonX tilts PersonY's head back PersonX then is asked to stop,Their head is hurting really bad,1
"PersonX quenches PersonX's thirst As a result, PersonX wants to belch",PersonX opens their mouth and sighs out of relief.,0
"PersonX quenches PersonX's thirst As a result, PersonX wants to belch","PersonX opens their mouth, as they drank way too fast.",1
"PersonX has a good time As a result, PersonX feels engaged",PersonX is on a lot of drugs.,0
